"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
0,0.5,0.5,1,0,1,1,0,0,1,1,0
0,0.5,0.5,2,0.2,0.8,1,1,0,1,1,0
0,0.75,0.75,1,0,1,1,0,0,1,1,0
0,0.285714285714286,0.285714285714286,5,0.125,0.875,1,1,0,1,1,0
0,0.5,0.5,4,0.25,0.6,0.75,4,0,1,1,0
0.142857142857143,0.75,0.857142857142857,2,0.5,0.3,0.428571428571429,7,0.428571428571429,0.4,0.571428571428571,6
0,1,1,0,0.75,0.25,1,3,0,1,1,0
0,0.2,0.2,4,0.333333333333333,0.571428571428571,0.8,3,0.2,0.666666666666667,0.8,2
0,1,1,0,0.2,0.8,1,1,0,1,1,0
0,1,1,0,0.75,0.25,1,3,0,1,1,0
0,1,1,0,0.5,0.5,1,1,0,1,1,0
0,1,1,0,0.25,0.75,1,1,0,1,1,0
0,0.222222222222222,0.222222222222222,7,0.272727272727273,0.666666666666667,0.888888888888889,4,0.222222222222222,0.636363636363636,0.777777777777778,4
0,0.8,0.8,1,0,1,1,0,0,1,1,0
0,0.333333333333333,0.333333333333333,6,0.111111111111111,0.8,0.888888888888889,2,0,1,1,0
0,0.333333333333333,0.333333333333333,4,0.25,0.75,1,2,0,1,1,0
0,1,1,0,0.666666666666667,0.333333333333333,1,2,0,1,1,0
0,0.5,0.5,1,0,1,1,0,0,1,1,0
0,0.625,0.625,3,0.222222222222222,0.7,0.875,3,0,1,1,0
0,0.4,0.4,3,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,0.5,0.5,4,0,1,1,0,0.111111111111111,0.888888888888889,1,1
0,1,1,0,0.25,0.75,1,1,0,1,1,0
0.5,0.25,0.333333333333333,3,0.25,0.75,1,1,0,1,1,0
0,0.5,0.5,1,0.333333333333333,0.666666666666667,1,1,0,1,1,0
0,1,1,0,0.5,0.5,1,1,0,1,1,0
0,0.333333333333333,0.333333333333333,2,0,1,1,0,0,0.666666666666667,0.666666666666667,1
0,0.5,0.5,3,0.333333333333333,0.5,0.666666666666667,4,0,1,1,0
0,0.333333333333333,0.333333333333333,4,0.285714285714286,0.625,0.833333333333333,3,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0,1,1,0,0,1,1,0
0,0.333333333333333,0.333333333333333,2,0.6,0.333333333333333,0.666666666666667,4,0,0.666666666666667,0.666666666666667,1
0,0.333333333333333,0.333333333333333,2,0.25,0.75,1,1,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0.25,0.75,1,1,0,1,1,0
0,0.142857142857143,0.142857142857143,6,0.25,0.666666666666667,0.857142857142857,3,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0
0,0,0,2,0.6,0.4,1,3,0,1,1,0
0,0.714285714285714,0.714285714285714,2,0.5,0.3,0.428571428571429,7,0,0.714285714285714,0.714285714285714,2
0,0.6,0.6,2,0.375,0.625,1,3,0,1,1,0
0,0.4,0.4,3,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0.4,0.6,1,2,0,1,1,0
0,0.75,0.75,1,0.5,0.333333333333333,0.5,4,0,1,1,0
0,0.8,0.8,1,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,0.6,0.6,2,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0.333333333333333,0.2,0.222222222222222,8,0,0.777777777777778,0.777777777777778,2,0.125,0.7,0.777777777777778,3
0,0.4,0.4,3,0.5,0.444444444444444,0.8,5,0,1,1,0
0,0,0,5,0.285714285714286,0.714285714285714,1,2,0,0.6,0.6,2
0,1,1,0,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0
0,0.333333333333333,0.333333333333333,2,0.25,0.75,1,1,0,1,1,0
0,0.4,0.4,3,0,1,1,0,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0,1,1,0,0,1,1,0
0,0.285714285714286,0.285714285714286,5,0.666666666666667,0.230769230769231,0.428571428571429,10,0,1,1,0
0,0.25,0.25,3,0.2,0.8,1,1,0,1,1,0
0,1,1,0,0.666666666666667,0.333333333333333,1,2,0,1,1,0
0,0.8,0.8,1,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,0.555555555555556,0.555555555555556,4,0.375,0.416666666666667,0.555555555555556,7,0.1,0.9,1,1
0,0.2,0.2,4,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,0.833333333333333,0.833333333333333,1,0,1,1,0,0,0.833333333333333,0.833333333333333,1
0,0,0,1,0.666666666666667,0.333333333333333,1,2,0,1,1,0
0,0.5,0.5,3,0,1,1,0,0,1,1,0
0,0.625,0.625,3,0.111111111111111,0.888888888888889,1,1,0,0.75,0.75,2
0,0.333333333333333,0.333333333333333,2,0.25,0.75,1,1,0,1,1,0
0,0.2,0.2,4,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,0.5,0.5,2,0.333333333333333,0.666666666666667,1,2,0,1,1,0
0,0.333333333333333,0.333333333333333,4,0.25,0.75,1,2,0,1,1,0
0,0.25,0.25,3,0,1,1,0,0,1,1,0
0,0.75,0.75,1,0.428571428571429,0.571428571428571,1,3,0,1,1,0
0,0.4,0.4,3,0.857142857142857,0.0909090909090909,0.2,10,0.2,0.666666666666667,0.8,2
0,0.5,0.5,1,0.5,0.5,1,2,0,1,1,0
0,0.666666666666667,0.666666666666667,2,0.166666666666667,0.714285714285714,0.833333333333333,2,0.166666666666667,0.714285714285714,0.833333333333333,2
0,0.8,0.8,1,0.285714285714286,0.714285714285714,1,2,0,1,1,0
0,0.25,0.25,3,0.2,0.8,1,1,0,1,1,0
0,0.875,0.875,1,0.111111111111111,0.888888888888889,1,1,0,1,1,0
0,0.222222222222222,0.222222222222222,7,0.555555555555556,0.285714285714286,0.444444444444444,10,0,1,1,0
0,0.5,0.5,1,0.6,0.4,1,3,0,1,1,0
0,0.75,0.75,1,0,1,1,0,0,1,1,0
0,0.75,0.75,1,0.2,0.8,1,1,0,1,1,0
0.333333333333333,0.4,0.5,3,0,1,1,0,0,1,1,0
0,0.5,0.5,2,0.428571428571429,0.571428571428571,1,3,0,1,1,0
0,1,1,0,0.333333333333333,0.666666666666667,1,1,0,1,1,0
0,0.4,0.4,3,0.166666666666667,0.833333333333333,1,1,0,0.8,0.8,1
0,0.25,0.25,3,0,1,1,0,0,1,1,0
0,0.428571428571429,0.428571428571429,4,0.125,0.875,1,1,0,0.857142857142857,0.857142857142857,1
0,0.5,0.5,3,0,1,1,0,0,1,1,0
0,0.833333333333333,0.833333333333333,1,0,1,1,0,0,1,1,0
0,0,0,2,0,1,1,0,0,1,1,0
0,0.75,0.75,1,0.428571428571429,0.571428571428571,1,3,0,1,1,0
0,0.285714285714286,0.285714285714286,5,0,1,1,0,0,1,1,0
0,0.8,0.8,1,0,1,1,0,0,1,1,0
0,0.5,0.5,3,0,1,1,0,0,1,1,0
0,1,1,0,0.333333333333333,0.666666666666667,1,1,0,1,1,0
0,0.833333333333333,0.833333333333333,1,0.375,0.555555555555556,0.833333333333333,4,0,1,1,0
0,0,0,3,0.5,0.4,0.666666666666667,3,0,0.666666666666667,0.666666666666667,1
0,0.5,0.5,3,0.142857142857143,0.857142857142857,1,1,0,1,1,0
0,0.666666666666667,0.666666666666667,2,0.285714285714286,0.625,0.833333333333333,3,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0
0,0.25,0.25,3,0.2,0.8,1,1,0,1,1,0
0,1,1,0,0.666666666666667,0.333333333333333,1,2,0,1,1,0
0,0.5,0.5,1,0.6,0.4,1,3,0,1,1,0
0,0.5,0.5,2,0.666666666666667,0.25,0.5,6,0,1,1,0
0,0.428571428571429,0.428571428571429,4,0,0.857142857142857,0.857142857142857,1,0,1,1,0
0,0.5,0.5,3,0.142857142857143,0.857142857142857,1,1,0,1,1,0
0,0.5,0.5,3,0.142857142857143,0.857142857142857,1,1,0,1,1,0
0,1,1,0,0.5,0.5,1,1,0,1,1,0
0,1,1,0,0.25,0.75,1,1,0,1,1,0
0,1,1,0,0.5,0.5,1,2,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0
0,0.25,0.25,3,0.2,0.8,1,1,0,1,1,0
0,1,1,0,0.25,0.75,1,1,0,1,1,0
0,0.571428571428571,0.571428571428571,3,0,1,1,0,0,0.857142857142857,0.857142857142857,1
0,1,1,0,0.5,0.5,1,3,0,1,1,0
0,0.6,0.6,2,0,1,1,0,0.2,0.666666666666667,0.8,2
0,0.25,0.25,6,0.272727272727273,0.727272727272727,1,3,0.111111111111111,0.888888888888889,1,1
0,0.857142857142857,0.857142857142857,1,0,0.857142857142857,0.857142857142857,1,0,0.857142857142857,0.857142857142857,1
0,1,1,0,0.6,0.333333333333333,0.666666666666667,4,0,1,1,0
0,0.5,0.5,2,0.2,0.8,1,1,0,1,1,0
0,1,1,0,0.2,0.8,1,1,0,1,1,0
0,0.5,0.5,3,0.333333333333333,0.5,0.666666666666667,4,0,0.833333333333333,0.833333333333333,1
0.333333333333333,0.333333333333333,0.4,4,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,0.8,0.8,1,0,1,1,0,0,1,1,0
0,0.5,0.5,3,0.166666666666667,0.714285714285714,0.833333333333333,2,0,1,1,0
0,0.4,0.4,3,0.166666666666667,0.833333333333333,1,1,0,0.8,0.8,1
0,0.666666666666667,0.666666666666667,2,0.142857142857143,0.857142857142857,1,1,0,0.833333333333333,0.833333333333333,1
0,0.5,0.5,2,0.333333333333333,0.4,0.5,3,0,1,1,0
0,0.5,0.5,1,0.333333333333333,0.666666666666667,1,1,0,1,1,0
0,0.625,0.625,3,0.5,0.428571428571429,0.75,8,0,1,1,0
0,1,1,0,0.5,0.5,1,2,0,1,1,0
0,0.6,0.6,2,0.5,0.375,0.6,5,0.2,0.666666666666667,0.8,2
0,0.666666666666667,0.666666666666667,1,0.25,0.75,1,1,0,1,1,0
0,0.25,0.25,3,0.2,0.8,1,1,0,1,1,0
0,0.6,0.6,2,0,1,1,0,0,1,1,0
0,0.25,0.25,3,0.333333333333333,0.666666666666667,1,2,0,1,1,0
0,0.5,0.5,2,0.428571428571429,0.571428571428571,1,3,0,1,1,0
0,0.5,0.5,2,0.2,0.8,1,1,0,1,1,0
0,0.25,0.25,3,0.2,0.8,1,1,0,1,1,0
0,1,1,0,0.75,0.25,1,3,0,1,1,0
0,1,1,0,0.6,0.4,1,3,0,1,1,0
0,1,1,0,0.25,0.75,1,1,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0.25,0.75,1,1,0,1,1,0
0,0.714285714285714,0.714285714285714,2,0.4,0.545454545454545,0.857142857142857,5,0,1,1,0
0,0.5,0.5,1,0.333333333333333,0.666666666666667,1,1,0,1,1,0
0,0.333333333333333,0.333333333333333,2,0.4,0.6,1,2,0,1,1,0
0,0.4,0.4,3,0.428571428571429,0.5,0.8,4,0,0.8,0.8,1
0,0.5,0.5,3,0.142857142857143,0.857142857142857,1,1,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0,1,1,0,0,0.666666666666667,0.666666666666667,1
0,0.2,0.2,4,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,0.5,0.5,3,0,1,1,0,0,1,1,0
0,1,1,0,0.25,0.75,1,1,0,1,1,0
0,0.25,0.25,6,0.111111111111111,0.888888888888889,1,1,0.111111111111111,0.888888888888889,1,1
0,0.833333333333333,0.833333333333333,1,0.142857142857143,0.857142857142857,1,1,0,1,1,0
0,0.5,0.5,3,0.428571428571429,0.444444444444444,0.666666666666667,5,0,0.833333333333333,0.833333333333333,1
0,0.75,0.75,1,0.333333333333333,0.666666666666667,1,2,0,1,1,0
0,0.6,0.6,2,0,1,1,0,0,1,1,0
0,0.666666666666667,0.666666666666667,2,0,1,1,0,0,1,1,0
0,0.666666666666667,0.666666666666667,2,0,0.833333333333333,0.833333333333333,1,0,1,1,0
0,0.444444444444444,0.444444444444444,5,0,1,1,0,0,1,1,0
0,0,0,3,0.5,0.5,1,3,0,0.666666666666667,0.666666666666667,1
0,0.2,0.2,4,0.333333333333333,0.571428571428571,0.8,3,0,0.8,0.8,1
0,0.5,0.5,2,0,1,1,0,0,1,1,0
0,0.75,0.75,1,0.2,0.8,1,1,0,0.75,0.75,1
0,0.666666666666667,0.666666666666667,1,0,1,1,0,0,1,1,0
0,0.4,0.4,3,0,1,1,0,0,1,1,0
0,0.2,0.2,4,0.333333333333333,0.571428571428571,0.8,3,0,1,1,0
0,1,1,0,0.4,0.6,1,2,0,1,1,0
0,0.5,0.5,4,0.125,0.777777777777778,0.875,2,0,0.875,0.875,1
0,0.5,0.5,5,0.454545454545455,0.4,0.6,9,0.111111111111111,0.727272727272727,0.8,3
0,1,1,0,0.333333333333333,0.666666666666667,1,1,0,1,1,0
0,0.5,0.5,1,0.6,0.4,1,3,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0
0,0.6,0.6,2,0.285714285714286,0.714285714285714,1,2,0,0.8,0.8,1
0,0.5,0.5,2,0.25,0.6,0.75,2,0,0.75,0.75,1
0.25,0.428571428571429,0.5,4,0,1,1,0,0,0.833333333333333,0.833333333333333,1
0,1,1,0,0.4,0.6,1,2,0,1,1,0
0,1,1,0,0.25,0.75,1,1,0,1,1,0
0,0.5,0.5,1,0.75,0.2,0.5,4,0,0.5,0.5,1
0,1,1,0,0.25,0.75,1,1,0,1,1,0
0,0.5,0.5,1,0.333333333333333,0.666666666666667,1,1,0,1,1,0
0,1,1,0,0.375,0.625,1,3,0,1,1,0
0,0.666666666666667,0.666666666666667,2,0.333333333333333,0.5,0.666666666666667,4,0.285714285714286,0.625,0.833333333333333,3
0,0.666666666666667,0.666666666666667,1,0,1,1,0,0,1,1,0
0,0.25,0.25,3,0.5,0.333333333333333,0.5,4,0,1,1,0
0,0,0,0,1,0,0,1,0,0,0,0
0,0.5,0.5,3,0,1,1,0,0,1,1,0
0,0.25,0.25,3,0.333333333333333,0.666666666666667,1,2,0,1,1,0
0,1,1,0,0.2,0.8,1,1,0,1,1,0
0,0.25,0.25,6,0,1,1,0,0,0.875,0.875,1
0,1,1,0,0.333333333333333,0.666666666666667,1,1,0,1,1,0
0,0.375,0.375,5,0.111111111111111,0.888888888888889,1,1,0,0.875,0.875,1
0,0.333333333333333,0.333333333333333,2,0.4,0.6,1,2,0,1,1,0
0,0.166666666666667,0.166666666666667,5,0.142857142857143,0.857142857142857,1,1,0,1,1,0
0,0.333333333333333,0.333333333333333,2,0.25,0.75,1,1,0,0.666666666666667,0.666666666666667,1
0,0.571428571428571,0.571428571428571,3,0.375,0.5,0.714285714285714,5,0,1,1,0
0,0.5,0.5,1,0.333333333333333,0.666666666666667,1,1,0,1,1,0
0,0.222222222222222,0.222222222222222,7,0.125,0.7,0.777777777777778,3,0,1,1,0
0,1,1,0,0.333333333333333,0.666666666666667,1,1,0,1,1,0
0,0.285714285714286,0.285714285714286,5,0.222222222222222,0.777777777777778,1,2,0,1,1,0
0,0.166666666666667,0.166666666666667,5,0.142857142857143,0.857142857142857,1,1,0,1,1,0
0,1,1,0,0.5,0.5,1,1,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0.25,0.75,1,1,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0
0,0.5,0.5,1,0.5,0.5,1,2,0,1,1,0
0,0.75,0.75,1,0.4,0.5,0.75,3,0,0.75,0.75,1
0,0.4,0.4,3,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,1,1,0,0.2,0.8,1,1,0,1,1,0
0,1,1,0,0.5,0.5,1,1,0,1,1,0
0,0,0,5,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,1,1,0,0.333333333333333,0.666666666666667,1,1,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0.875,0.1,0.333333333333333,9,0,1,1,0
0,0.4,0.4,3,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,0.75,0.75,1,0.25,0.6,0.75,2,0,1,1,0
0,0.666666666666667,0.666666666666667,2,0,1,1,0,0.166666666666667,0.714285714285714,0.833333333333333,2
0,0.2,0.2,4,0.285714285714286,0.714285714285714,1,2,0,1,1,0
0,0.5,0.5,3,0.428571428571429,0.444444444444444,0.666666666666667,5,0,1,1,0
0,0.333333333333333,0.333333333333333,2,0,1,1,0,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0.333333333333333,0.5,0.666666666666667,2,0,1,1,0
0,0.125,0.125,7,0,1,1,0,0,1,1,0
0,0.375,0.375,5,0.25,0.6,0.75,4,0,1,1,0
0,0.5,0.5,3,0.285714285714286,0.625,0.833333333333333,3,0.166666666666667,0.714285714285714,0.833333333333333,2
0,0.571428571428571,0.571428571428571,3,0.5,0.461538461538462,0.857142857142857,7,0.25,0.666666666666667,0.857142857142857,3
0,0.5,0.5,4,0.125,0.777777777777778,0.875,2,0,0.875,0.875,1
0,1,1,0,0,1,1,0,0,1,1,0
0,0.5,0.5,1,0.666666666666667,0.333333333333333,1,4,0,1,1,0
0,0.4,0.4,3,0.8,0.111111111111111,0.2,8,0,0.8,0.8,1
0,0.666666666666667,0.666666666666667,1,0.25,0.75,1,1,0,1,1,0
0,0.5,0.5,4,0,0.875,0.875,1,0,1,1,0
0,1,1,0,0.5,0.5,1,2,0,1,1,0
0,0.75,0.75,1,0,1,1,0,0,0.75,0.75,1
0,0.8,0.8,1,0,1,1,0,0,1,1,0
0,0.5,0.5,1,0.5,0.5,1,2,0,1,1,0
0,0.5,0.5,2,0.5,0.428571428571429,0.75,4,0,1,1,0
0,0.8,0.8,1,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,0.6,0.6,2,0.666666666666667,0.272727272727273,0.6,8,0,1,1,0
0,0.5,0.5,3,0.2,0.571428571428571,0.666666666666667,3,0,1,1,0
0,0.6,0.6,2,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,0.571428571428571,0.571428571428571,3,0,1,1,0,0,1,1,0
0,0.75,0.75,1,0,1,1,0,0,1,1,0
0,0.5,0.5,1,0.666666666666667,0.25,0.5,3,0,0.5,0.5,1
0,0.555555555555556,0.555555555555556,4,0.142857142857143,0.6,0.666666666666667,4,0.2,0.727272727272727,0.888888888888889,3
0,0.4,0.4,3,0.375,0.625,1,3,0,1,1,0
0,0.5,0.5,3,0.142857142857143,0.857142857142857,1,1,0,1,1,0
0,0.333333333333333,0.333333333333333,2,0.666666666666667,0.2,0.333333333333333,4,0,0.333333333333333,0.333333333333333,2
0,1,1,0,0,1,1,0,0,1,1,0
0,0.5,0.5,3,0.555555555555556,0.363636363636364,0.666666666666667,7,0,1,1,0
0,0,0,7,0.428571428571429,0.4,0.571428571428571,6,0,1,1,0
0,0.666666666666667,0.666666666666667,2,0.166666666666667,0.714285714285714,0.833333333333333,2,0,1,1,0
0,0.75,0.75,1,0.2,0.8,1,1,0,0.75,0.75,1
0,1,1,0,0.333333333333333,0.666666666666667,1,1,0,1,1,0
0,0.333333333333333,0.333333333333333,2,0,1,1,0,0,1,1,0
0,0.75,0.75,1,0.2,0.8,1,1,0,1,1,0
0,0.428571428571429,0.428571428571429,4,0,1,1,0,0,0.857142857142857,0.857142857142857,1
0,0.75,0.75,1,0.333333333333333,0.666666666666667,1,2,0,1,1,0
0,0.4,0.4,3,0.285714285714286,0.714285714285714,1,2,0.333333333333333,0.571428571428571,0.8,3
0,1,1,0,0.75,0.25,1,3,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0
0,0.333333333333333,0.333333333333333,4,0,0.833333333333333,0.833333333333333,1,0,0.833333333333333,0.833333333333333,1
0,0.75,0.75,1,0,1,1,0,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0.4,0.6,1,2,0,1,1,0
0,1,1,0,0.25,0.75,1,1,0,1,1,0
0,0.25,0.25,3,0.2,0.8,1,1,0,1,1,0
0,0.4,0.4,3,0,1,1,0,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0.25,0.75,1,1,0,1,1,0
0,0.75,0.75,1,0.333333333333333,0.666666666666667,1,2,0,1,1,0
0,1,1,0,0.333333333333333,0.666666666666667,1,1,0,1,1,0
0,0.25,0.25,3,0.4,0.5,0.75,3,0,0.75,0.75,1
0,0.333333333333333,0.333333333333333,2,0.5,0.5,1,3,0,1,1,0
0,0.833333333333333,0.833333333333333,1,0.142857142857143,0.857142857142857,1,1,0.142857142857143,0.857142857142857,1,1
0,0.5,0.5,1,0.5,0.5,1,2,0,1,1,0
0,0.2,0.2,4,0.285714285714286,0.714285714285714,1,2,0.2,0.666666666666667,0.8,2
0,1,1,0,0.333333333333333,0.666666666666667,1,1,0,1,1,0
0,0.5,0.5,1,0.666666666666667,0.333333333333333,1,4,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0.4,0.6,1,2,0,1,1,0
0,0.166666666666667,0.166666666666667,5,0.25,0.75,1,2,0,1,1,0
0,0.4,0.4,3,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,0.4,0.4,3,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0.25,0.75,1,1,0,1,1,0
0,0.75,0.75,1,0.666666666666667,0.25,0.5,6,0,1,1,0
0,0.333333333333333,0.333333333333333,4,0,1,1,0,0,0.833333333333333,0.833333333333333,1
0,0.5,0.5,3,0.142857142857143,0.857142857142857,1,1,0,1,1,0
0,0.5,0.5,2,0,1,1,0,0,1,1,0
0,0.8,0.8,1,0.375,0.625,1,3,0,1,1,0
0,0.625,0.625,3,0.125,0.777777777777778,0.875,2,0,0.875,0.875,1
0,0.6,0.6,2,0.285714285714286,0.714285714285714,1,2,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0,1,1,0,0,1,1,0
0,0.6,0.6,2,0,1,1,0,0,1,1,0
0,0.75,0.75,1,0.5,0.428571428571429,0.75,4,0.25,0.6,0.75,2
0,0.75,0.75,1,0.5,0.428571428571429,0.75,4,0,0.75,0.75,1
0,0.75,0.75,1,0.5,0.428571428571429,0.75,4,0,1,1,0
0,0.25,0.25,3,0.333333333333333,0.666666666666667,1,2,0,0.75,0.75,1
0,0.5,0.5,2,0.2,0.8,1,1,0,1,1,0
0,0.333333333333333,0.333333333333333,6,0,0.888888888888889,0.888888888888889,1,0,0.777777777777778,0.777777777777778,2
0,0.666666666666667,0.666666666666667,2,0,1,1,0,0,1,1,0
0,0.25,0.25,3,0,1,1,0,0,0.75,0.75,1
0,0.375,0.375,5,0,1,1,0,0.222222222222222,0.7,0.875,3
0,0.4,0.4,3,0.5,0.375,0.6,5,0,0.6,0.6,2
0,0.8,0.8,1,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,0.125,0.125,7,0.285714285714286,0.5,0.625,5,0,1,1,0
0,0.8,0.8,1,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,0.5,0.5,2,0.4,0.5,0.75,3,0,0.75,0.75,1
0,0.5,0.5,3,0.285714285714286,0.625,0.833333333333333,3,0,0.833333333333333,0.833333333333333,1
0,0.714285714285714,0.714285714285714,2,0.142857142857143,0.75,0.857142857142857,2,0.166666666666667,0.625,0.714285714285714,3
0,0.666666666666667,0.666666666666667,2,0.142857142857143,0.857142857142857,1,1,0,1,1,0
0,0.4,0.4,3,0.285714285714286,0.714285714285714,1,2,0,1,1,0
0,0.166666666666667,0.166666666666667,5,0.444444444444444,0.5,0.833333333333333,5,0,1,1,0
0,0.75,0.75,1,0,1,1,0,0,0.75,0.75,1
0,0.4,0.4,3,0,1,1,0,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0,1,1,0,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0.25,0.75,1,1,0,1,1,0
0,0.75,0.75,1,0.2,0.8,1,1,0.2,0.8,1,1
0,0.666666666666667,0.666666666666667,2,0,1,1,0,0,1,1,0
0,1,1,0,0.25,0.75,1,1,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0,1,1,0,0,1,1,0
0,0.5,0.5,3,0.2,0.571428571428571,0.666666666666667,3,0,1,1,0
0,0,0,5,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,0.75,0.75,1,0,1,1,0,0,1,1,0
0,0.4,0.4,3,0.285714285714286,0.714285714285714,1,2,0,1,1,0
0,0.75,0.75,1,0.5,0.428571428571429,0.75,4,0,0.75,0.75,1
0,0.333333333333333,0.333333333333333,4,0.375,0.555555555555556,0.833333333333333,4,0,1,1,0
0,0.833333333333333,0.833333333333333,1,0.285714285714286,0.625,0.833333333333333,3,0.166666666666667,0.714285714285714,0.833333333333333,2
0,0.666666666666667,0.666666666666667,2,0.25,0.75,1,2,0,0.833333333333333,0.833333333333333,1
0,0.4,0.4,3,0.5,0.375,0.6,5,0,1,1,0
0,0.5,0.5,3,0.571428571428571,0.3,0.5,7,0,1,1,0
0,0.4,0.4,3,0.4,0.428571428571429,0.6,4,0,1,1,0
0,0.25,0.25,6,0.111111111111111,0.888888888888889,1,1,0.111111111111111,0.888888888888889,1,1
0,0.6,0.6,2,0.714285714285714,0.2,0.4,8,0.25,0.5,0.6,3
0,0.75,0.75,1,0.5,0.428571428571429,0.75,4,0,1,1,0
0,0.6,0.6,2,0.285714285714286,0.714285714285714,1,2,0,1,1,0
0,0.6,0.6,2,0.166666666666667,0.833333333333333,1,1,0,1,1,0
0,0.25,0.25,3,0.333333333333333,0.666666666666667,1,2,0,1,1,0
